item,user,rating,timestamp
0,0,4.0,1452816000
1,0,4.0,1453766400
2,0,3.0,1453766400
3,0,4.0,1453766400
4,0,4.0,1453766400
5,0,3.0,1453766400
6,0,2.0,1453766400
7,0,3.0,1500854400
8,1,5.0,1436313600
9,1,5.0,1443571200
10,1,5.0,1457136000
11,1,5.0,1457913600
12,1,5.0,1458777600
13,1,5.0,1462492800
14,1,5.0,1463875200
15,1,5.0,1465171200
16,1,5.0,1468195200
17,1,5.0,1470096000
18,2,4.0,1462924800
19,2,4.0,1462924800
20,2,4.0,1462924800
21,2,4.0,1462924800
22,2,4.0,1462924800
23,2,4.0,1462924800
24,2,4.0,1462924800
25,2,4.0,1462924800
18,3,4.0,1495065600
19,3,4.0,1495065600
20,3,4.0,1495065600
21,3,4.0,1495065600
22,3,4.0,1495065600
23,3,4.0,1495065600
24,3,4.0,1495065600
25,3,4.0,1495065600
18,4,5.0,1509580800
19,4,5.0,1509580800
20,4,5.0,1509580800
21,4,5.0,1509580800
22,4,5.0,1509580800
23,4,5.0,1509580800
24,4,5.0,1509580800
25,4,5.0,1509580800
18,5,3.0,1509753600
19,5,3.0,1509753600
20,5,3.0,1509753600
21,5,3.0,1509753600
22,5,3.0,1509753600
23,5,3.0,1509753600
24,5,3.0,1509753600
25,5,3.0,1509753600
26,6,5.0,1463875200
27,6,5.0,1474934400
28,6,4.0,1475452800
29,6,5.0,1476057600
30,6,4.0,1476057600
31,6,5.0,1476057600
32,6,3.0,1477008000
33,7,5.0,1394236800
34,7,5.0,1394323200
2,7,5.0,1407369600
35,7,5.0,1407369600
36,7,5.0,1413763200
37,7,5.0,1414627200
38,7,5.0,1414627200
39,7,5.0,1414886400
40,7,5.0,1415836800
41,7,5.0,1420070400
42,7,5.0,1421712000
43,8,5.0,1417219200
44,8,1.0,1433980800
45,8,5.0,1435449600
46,8,5.0,1452988800
47,8,5.0,1453248000
48,8,5.0,1459296000
49,8,5.0,1466985600
50,9,4.0,1465603200
51,9,3.0,1465603200
52,9,5.0,1466726400
53,9,4.0,1467331200
54,9,4.0,1468281600
55,9,4.0,1468540800
56,9,5.0,1470268800
57,10,3.0,1424822400
58,10,5.0,1448323200
59,10,5.0,1448323200
60,10,5.0,1460505600
61,10,3.0,1460505600
62,10,1.0,1460505600
63,10,5.0,1460505600
64,10,5.0,1460505600
65,10,2.0,1460505600
66,11,5.0,1407024000
67,11,3.0,1407024000
68,11,5.0,1407024000
69,11,3.0,1433721600
70,11,1.0,1433721600
71,11,1.0,1433721600
72,11,1.0,1438646400
73,11,2.0,1439164800
18,12,5.0,1483488000
19,12,5.0,1483488000
20,12,5.0,1483488000
21,12,5.0,1483488000
22,12,5.0,1483488000
23,12,5.0,1483488000
24,12,5.0,1483488000
25,12,5.0,1483488000
74,13,2.0,1392163200
75,13,5.0,1447372800
76,13,4.0,1458691200
77,13,5.0,1472428800
78,13,5.0,1472601600
79,13,4.0,1473292800
80,13,5.0,1488585600
81,14,5.0,1458604800
82,14,5.0,1458604800
83,14,5.0,1461542400
84,14,5.0,1465948800
85,14,1.0,1472515200
86,14,5.0,1472515200
87,14,5.0,1472688000
88,14,5.0,1486598400
18,15,5.0,1472428800
19,15,5.0,1472428800
20,15,5.0,1472428800
21,15,5.0,1472428800
22,15,5.0,1472428800
23,15,5.0,1472428800
24,15,5.0,1472428800
25,15,5.0,1472428800
89,16,5.0,1462838400
90,16,5.0,1463356800
91,16,5.0,1463356800
92,16,3.0,1463356800
93,16,2.0,1463356800
94,16,4.0,1463356800
95,16,5.0,1463356800
96,16,5.0,1463788800
97,16,5.0,1463788800
98,16,5.0,1463788800
99,16,3.0,1463961600
100,16,5.0,1471996800
101,16,5.0,1471996800
102,17,5.0,1432598400
103,17,5.0,1445904000
104,17,5.0,1445904000
105,17,5.0,1445904000
106,17,5.0,1445904000
107,17,5.0,1445904000
108,17,5.0,1445904000
109,17,5.0,1456876800
110,17,5.0,1482537600
111,18,4.0,1417305600
112,18,5.0,1452816000
113,18,5.0,1456790400
114,18,5.0,1464566400
115,18,5.0,1473724800
116,18,5.0,1495238400
117,18,5.0,1500336000
18,19,5.0,1479859200
19,19,5.0,1479859200
20,19,5.0,1479859200
21,19,5.0,1479859200
22,19,5.0,1479859200
23,19,5.0,1479859200
24,19,5.0,1479859200
25,19,5.0,1479859200
118,20,5.0,1319500800
119,20,5.0,1359504000
120,20,5.0,1368662400
121,20,5.0,1368662400
122,20,5.0,1390694400
123,20,5.0,1390694400
124,20,5.0,1390694400
125,20,3.0,1390694400
126,20,1.0,1428796800
127,21,4.0,1428710400
128,21,4.0,1437004800
129,21,3.0,1437004800
130,21,1.0,1437004800
131,21,2.0,1437004800
132,21,3.0,1446336000
133,21,5.0,1469750400
134,21,1.0,1469750400
18,22,5.0,1495411200
19,22,5.0,1495411200
20,22,5.0,1495411200
21,22,5.0,1495411200
22,22,5.0,1495411200
23,22,5.0,1495411200
24,22,5.0,1495411200
25,22,5.0,1495411200
135,23,5.0,1449532800
136,23,5.0,1451174400
137,23,5.0,1458777600
138,23,5.0,1461456000
139,23,5.0,1461456000
140,23,2.0,1465430400
141,23,5.0,1466812800
142,23,5.0,1469232000
18,24,5.0,1471910400
19,24,5.0,1471910400
20,24,5.0,1471910400
21,24,5.0,1471910400
22,24,5.0,1471910400
23,24,5.0,1471910400
24,24,5.0,1471910400
25,24,5.0,1471910400
143,25,5.0,1458259200
144,25,5.0,1458259200
145,25,5.0,1458259200
146,25,5.0,1458259200
147,25,5.0,1458259200
148,25,4.0,1458259200
149,25,5.0,1458259200
18,26,5.0,1492646400
19,26,5.0,1492646400
20,26,5.0,1492646400
21,26,5.0,1492646400
22,26,5.0,1492646400
23,26,5.0,1492646400
24,26,5.0,1492646400
25,26,5.0,1492646400
24,27,5.0,1529107200
25,27,5.0,1529107200
19,27,5.0,1529107200
20,27,5.0,1529107200
21,27,5.0,1529107200
22,27,5.0,1529107200
23,27,5.0,1529107200
150,28,5.0,1455580800
151,28,5.0,1455580800
152,28,1.0,1455580800
153,28,5.0,1489968000
154,28,1.0,1526515200
155,28,5.0,1526515200
156,28,4.0,1526515200
18,29,5.0,1517184000
19,29,5.0,1517184000
20,29,5.0,1517184000
21,29,5.0,1517184000
22,29,5.0,1517184000
23,29,5.0,1517184000
24,29,5.0,1517184000
25,29,5.0,1517184000
157,30,5.0,1410393600
158,30,5.0,1419984000
159,30,4.0,1427587200
160,30,5.0,1444089600
161,30,5.0,1447632000
162,30,5.0,1454803200
163,30,5.0,1467676800
164,30,5.0,1467676800
18,31,5.0,1485302400
19,31,5.0,1485302400
20,31,5.0,1485302400
21,31,5.0,1485302400
22,31,5.0,1485302400
23,31,5.0,1485302400
24,31,5.0,1485302400
25,31,5.0,1485302400
165,31,4.0,1485302400
166,32,5.0,1439510400
167,32,5.0,1449446400
168,32,4.0,1459987200
169,32,1.0,1459987200
170,32,5.0,1464998400
171,32,3.0,1473897600
172,32,5.0,1484179200
18,33,5.0,1518566400
19,33,5.0,1518566400
20,33,5.0,1518566400
21,33,5.0,1518566400
22,33,5.0,1518566400
23,33,5.0,1518566400
24,33,5.0,1518566400
25,33,5.0,1518566400
173,34,4.0,1452211200
174,34,4.0,1454457600
175,34,5.0,1456790400
176,34,5.0,1459900800
177,34,5.0,1461024000
178,34,4.0,1463011200
179,34,5.0,1497830400
18,35,4.0,1489968000
19,35,4.0,1489968000
20,35,4.0,1489968000
21,35,4.0,1489968000
22,35,4.0,1489968000
23,35,4.0,1489968000
24,35,4.0,1489968000
25,35,4.0,1489968000
180,36,3.0,1484697600
181,36,3.0,1484697600
182,36,3.0,1484697600
183,36,3.0,1484697600
184,36,3.0,1484697600
185,36,5.0,1484697600
186,36,5.0,1484697600
187,36,5.0,1496102400
188,37,5.0,1396828800
189,37,4.0,1396828800
190,37,4.0,1402617600
191,37,5.0,1402617600
192,37,5.0,1402617600
193,37,5.0,1406592000
194,37,5.0,1485734400
195,38,3.0,1445472000
196,38,3.0,1445472000
197,38,5.0,1481500800
198,38,2.0,1481760000
199,38,5.0,1481760000
200,38,5.0,1491177600
201,38,5.0,1494201600
202,39,5.0,1465344000
203,39,5.0,1465344000
204,39,4.0,1465344000
205,39,4.0,1465344000
206,39,2.0,1480809600
207,39,3.0,1491523200
208,39,4.0,1492387200
209,40,2.0,1449792000
210,40,5.0,1450915200
211,40,5.0,1451433600
212,40,2.0,1452038400
213,40,5.0,1452124800
214,40,1.0,1452902400
215,40,5.0,1453420800
216,40,2.0,1457568000
18,41,4.0,1510358400
19,41,4.0,1510358400
20,41,4.0,1510358400
21,41,4.0,1510358400
22,41,4.0,1510358400
23,41,4.0,1510358400
24,41,4.0,1510358400
25,41,4.0,1510358400
18,42,5.0,1496102400
19,42,5.0,1496102400
20,42,5.0,1496102400
21,42,5.0,1496102400
22,42,5.0,1496102400
23,42,5.0,1496102400
24,42,5.0,1496102400
25,42,5.0,1496102400
18,43,5.0,1463356800
19,43,5.0,1463356800
20,43,5.0,1463356800
21,43,5.0,1463356800
22,43,5.0,1463356800
23,43,5.0,1463356800
24,43,5.0,1463356800
25,43,5.0,1463356800
18,44,5.0,1493078400
19,44,5.0,1493078400
20,44,5.0,1493078400
21,44,5.0,1493078400
22,44,5.0,1493078400
23,44,5.0,1493078400
24,44,5.0,1493078400
25,44,5.0,1493078400
217,45,5.0,1475280000
218,45,5.0,1476316800
219,45,5.0,1483401600
220,45,5.0,1486771200
221,45,3.0,1490227200
222,45,5.0,1497484800
223,45,4.0,1502150400
224,46,5.0,1388793600
225,46,5.0,1391126400
226,46,5.0,1393113600
227,46,5.0,1393113600
228,46,5.0,1477872000
229,46,5.0,1482192000
230,46,5.0,1487203200
231,47,5.0,1362960000
232,47,5.0,1422576000
66,47,5.0,1422576000
233,47,5.0,1422576000
192,47,5.0,1422576000
234,47,5.0,1425600000
235,47,5.0,1427760000
236,47,5.0,1430611200
237,47,5.0,1430611200
238,48,5.0,1461196800
239,48,5.0,1462665600
240,48,4.0,1466726400
241,48,4.0,1467676800
242,48,4.0,1469318400
243,48,4.0,1471132800
244,48,4.0,1474848000
245,49,4.0,1467072000
246,49,5.0,1467504000
247,49,4.0,1469664000
248,49,5.0,1469836800
249,49,5.0,1469923200
250,49,5.0,1470268800
251,49,5.0,1470268800
252,49,5.0,1471910400
253,49,5.0,1471910400
254,49,5.0,1474156800
255,49,5.0,1483574400
256,49,5.0,1493424000
257,49,5.0,1494633600
258,50,5.0,1426550400
259,50,5.0,1426550400
260,50,5.0,1429142400
261,50,5.0,1429142400
262,50,5.0,1429142400
263,50,5.0,1429142400
264,50,5.0,1429142400
265,50,5.0,1430179200
266,50,4.0,1430179200
18,51,5.0,1464048000
19,51,5.0,1464048000
20,51,5.0,1464048000
21,51,5.0,1464048000
22,51,5.0,1464048000
23,51,5.0,1464048000
24,51,5.0,1464048000
25,51,5.0,1464048000
267,52,2.0,1440201600
268,52,5.0,1440892800
269,52,2.0,1441324800
270,52,3.0,1450051200
271,52,2.0,1455580800
272,52,5.0,1478995200
273,52,5.0,1522454400
274,53,3.0,1446076800
275,53,4.0,1467936000
276,53,4.0,1467936000
277,53,4.0,1467936000
278,53,4.0,1475366400
279,53,5.0,1522368000
280,53,5.0,1522368000
281,54,5.0,1422576000
282,54,5.0,1423094400
283,54,4.0,1423612800
284,54,5.0,1446854400
285,54,5.0,1447200000
286,54,5.0,1453852800
287,54,5.0,1465603200
288,55,4.0,1428710400
289,55,5.0,1447804800
290,55,5.0,1463529600
291,55,5.0,1465516800
292,55,4.0,1466380800
293,55,5.0,1467504000
294,55,4.0,1468108800
295,55,4.0,1469923200
296,55,5.0,1474848000
297,56,4.0,1465257600
298,56,4.0,1466035200
299,56,4.0,1466035200
300,56,4.0,1466035200
84,56,4.0,1466035200
301,56,4.0,1466035200
302,56,2.0,1470873600
303,57,5.0,1437609600
304,57,3.0,1446076800
305,57,5.0,1457222400
306,57,5.0,1468454400
307,57,5.0,1473552000
308,57,4.0,1479772800
309,57,3.0,1491955200
310,58,5.0,1433376000
310,58,5.0,1433376000
38,58,5.0,1433376000
311,58,4.0,1433376000
312,58,4.0,1433808000
313,58,4.0,1433808000
314,58,5.0,1437523200
315,58,4.0,1454889600
316,58,2.0,1456704000
317,58,4.0,1468800000
318,59,5.0,1457395200
319,59,3.0,1458691200
320,59,5.0,1462233600
321,59,5.0,1475884800
322,59,4.0,1475884800
323,59,4.0,1475884800
324,59,5.0,1489622400
325,60,2.0,1412380800
326,60,2.0,1412380800
327,60,5.0,1417305600
328,60,5.0,1418774400
329,60,5.0,1418774400
330,60,5.0,1435363200
331,60,5.0,1491177600
332,61,2.0,1390867200
333,61,5.0,1399766400
334,61,3.0,1443139200
335,61,4.0,1445385600
